S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
64,2023-07-13,393,HLI,Himalayan Life Insurance Limited,500.0000,514.0000,498.0000,507.0000,318517,161509096.8000,496.2000,574.0000,340.0000,2023-07-13T14:59:59.617124,507.0000,2091,507.06,40663.34
65,2023-07-13,396,NLBBL,Nerude Laghubitta Bittiya Sanstha Limited,687.4000,702.7000,676.2000,676.2000,9637,6648468.4000,686.0000,1100.0000,534.0000,2023-07-13T14:58:23.260788,676.2000,94,689.88,4949.78
66,2023-07-13,397,ADBL,Agricultural Development Bank Limited,232.5000,232.5000,228.2000,228.2000,31352,7214075.8000,228.1000,355.8000,224.0000,2023-07-13T14:59:54.411850,228.2000,192,230.09,30696.72
67,2023-07-13,401,MLBL,Mahalaxmi Bikas Bank Ltd.,341.6000,341.6000,328.4000,328.4000,51750,17163693.3000,335.0000,446.0000,281.0000,2023-07-13T14:59:51.009147,328.4000,206,331.66,13698.61
68,2023-07-13,450,CORBL,Corporate Development Bank Limited,384.5000,392.1000,358.0000,363.5000,12114,4420830.9000,377.0000,392.1000,243.2000,2023-07-13T14:59:59.251581,363.5000,112,364.93,1908.38
69,2023-07-13,473,SHINE,Shine Resunga Development Bank Ltd.,394.5000,396.0000,383.3000,385.0000,95293,37132636.7000,389.0000,399.5000,270.3000,2023-07-13T14:59:32.848685,385.0000,461,389.66,16492.95
70,2023-07-13,516,MFIL,Manjushree Finance Ltd.,571.0000,577.0000,553.1000,555.0000,46673,26245798.4000,566.2000,587.0000,367.1000,2023-07-13T14:59:59.020711,555.0000,421,562.33,7501.12
71,2023-07-13,517,NBL,Nepal Bank Limited,245.3000,250.5000,243.5000,245.0000,89055,21930367.4000,244.9000,317.5000,240.0000,2023-07-13T14:59:44.892455,245.0000,425,246.25,36000.35
72,2023-07-13,544,PCBLP,Prime Commercial Bank Promoter Share,147.0000,147.0000,147.0000,147.0000,25000,3675000.0000,147.0000,147.0000,140.0000,2023-07-13T12:56:21.733733,147.0000,1,147.00,58.80
73,2023-07-13,561,SINDU,Sindhu Bikash Bank Ltd,290.0000,291.0000,273.1000,285.3000,15928,4500108.8000,286.8000,347.8000,227.7000,2023-07-13T14:59:52.187321,285.3000,73,282.52,1590.42
74,2023-07-13,583,GBLBS,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,602.8000,624.0000,578.0000,579.1000,8439,5097350.7000,591.0000,900.0000,427.0000,2023-07-13T14:59:17.247863,579.1000,111,604.02,5689.66
75,2023-07-13,587,RLFL,Reliance Finance Ltd.,385.0000,387.0000,371.0000,371.0000,54182,20508228.3000,379.6000,404.0000,268.0000,2023-07-13T14:59:56.231518,371.0000,198,378.50,4160.59
76,2023-07-13,591,SHPC,Sanima Mai Hydropower Ltd.,371.7000,376.9000,357.3000,358.0000,75121,27580604.2000,364.5000,403.0000,250.0000,2023-07-13T14:59:59.829661,358.0000,297,367.14,11059.52
77,2023-07-13,593,KMCDB,Kalika Laghubitta Bittiya Sanstha Ltd,734.0000,754.0000,706.0000,754.0000,6509,4794132.2000,720.0000,1210.0000,551.0000,2023-07-13T14:59:58.129943,754.0000,104,736.53,2807.31
78,2023-07-13,601,MLBBL,Mithila LaghuBitta Bittiya Sanstha Limited,946.0000,985.1000,920.0000,985.1000,2806,2655047.5000,929.1000,1415.0000,675.1000,2023-07-13T14:59:41.588445,985.1000,42,946.20,1930.82
79,2023-07-13,618,LLBS,Laxmi Laghubitta Bittiya Sanstha Ltd.,867.0000,883.9000,850.0000,860.0000,2099,1819625.7000,850.0000,1506.0000,624.0000,2023-07-13T14:59:40.869609,860.0000,41,866.90,3798.29
80,2023-07-13,632,PRVUPO,Prabhu  Bank Limited Promoter Share,112.0000,115.0000,112.0000,115.0000,156490,17996310.0000,110.0000,147.0000,100.0000,2023-07-13T11:27:33.310718,115.0000,3,114.99,115.00
81,2023-07-13,650,RLFLPO,Reliance Finance Ltd. Promoter Share,215.0000,215.0000,215.0000,215.0000,20656,4441040.0000,215.0000,215.0000,164.0000,2023-07-13T11:25:31.212857,215.0000,1,215.00,430.00
82,2023-07-13,682,MMFDB,Mirmire Laghubitta Bittya Sanstha Limited,725.0000,729.3000,698.1000,698.1000,2965,2110397.4000,714.0000,1240.0000,550.0000,2023-07-13T14:59:32.967326,698.1000,54,711.76,4561.27
83,2023-07-13,687,VLBS,Vijaya laghubitta Bittiya Sanstha Ltd.,721.0000,723.0000,712.0000,713.0000,1820,1301449.0000,707.6000,1140.0000,561.0000,2023-07-13T14:59:00.149058,713.0000,53,715.08,2737.92
84,2023-07-13,694,KLBSL,Kisan Lagubitta Bittiya Sanstha Limited,735.0000,747.0000,710.0000,710.0000,651,476354.6000,735.0000,1045.7000,539.0000,2023-07-13T14:59:43.974298,710.0000,20,731.72,3581.00
85,2023-07-13,697,API,Api Power Company Ltd.,208.0000,210.0000,197.0000,199.0000,126946,25827849.7000,204.0000,315.0000,192.0000,2023-07-13T14:59:54.643710,199.0000,662,203.45,11515.33
86,2023-07-13,358,LBBL,Lumbini Bikas Bank Ltd.,419.0000,420.0000,405.3000,405.3000,46624,19246565.8000,412.0000,450.0000,305.0000,2023-07-13T14:59:42.207768,405.3000,274,412.80,13710.57
87,2023-07-13,360,AHPC,Arun Valley Hydropower Development Co. Ltd.,269.1000,274.3000,258.3000,258.4000,109470,29018626.3000,263.9000,408.0000,240.5000,2023-07-13T14:59:55.485508,258.4000,529,265.08,4826.82
88,2023-07-13,403,SJLIC,SuryaJyoti Life Insurance Company Limited,630.0000,637.0000,611.6000,611.6000,58784,36653762.1000,626.9000,646.0000,379.0000,2023-07-13T14:59:56.794312,611.6000,468,623.53,27800.72
89,2023-07-13,417,GBBL,Garima Bikas Bank Limited,395.0000,395.0000,384.0000,384.3000,33617,13061775.0000,388.6000,435.4000,330.0000,2023-07-13T14:59:58.258328,384.3000,293,388.54,19936.28
