S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
90,2023-07-13,418,JBBL,Jyoti Bikas Bank Limited,303.0000,308.0000,296.0000,297.0000,68272,20574846.3000,303.0000,359.0000,249.1000,2023-07-13T14:59:59.200695,297.0000,290,301.36,13055.48
91,2023-07-13,428,KRBL,Karnali Development Bank Limited,295.0000,299.7000,281.0000,284.0000,15432,4476979.2000,294.0000,339.0000,206.0000,2023-07-13T14:59:57.877622,284.0000,97,290.11,1505.23
92,2023-07-13,459,KSBBL,Kamana Sewa Bikas Bank Limited,341.8000,341.8000,327.0000,330.0000,43541,14511949.1000,336.0000,424.0000,275.0000,2023-07-13T14:59:58.684620,330.0000,217,333.29,10827.84
93,2023-07-13,469,NIMBPO,Nepal Investment Mega Bank Ltd. Promoter Share,149.9000,149.9000,145.2000,148.0000,18947,2797611.0000,147.0000,242.5000,105.0000,2023-07-13T14:59:50.901980,148.0000,27,147.65,27095.16
94,2023-07-13,471,MPFL,Multipurpose Finance Company  Limited,394.0000,395.0000,382.2000,386.0000,31350,12224502.0000,391.5000,414.0000,234.0000,2023-07-13T14:59:58.691783,386.0000,191,389.93,1744.72
95,2023-07-13,472,SADBL,Shangrila Development Bank Ltd.,333.0000,334.5000,327.1000,329.0000,56565,18608769.7000,331.0000,367.2000,263.5000,2023-07-13T14:59:52.435109,329.0000,134,328.98,10750.38
96,2023-07-13,474,MNBBL,Muktinath Bikas Bank Ltd.,415.0000,419.9000,407.0000,407.0000,30306,12483086.1000,414.5000,505.1000,377.2000,2023-07-13T14:59:46.298327,407.0000,243,411.90,26133.06
97,2023-07-13,490,FMDBL,First Micro Finance Laghubitta Bittiya Sanstha Limited,743.0000,774.0000,736.0000,750.0000,69336,52067594.2000,741.1000,781.0000,497.2000,2023-07-13T14:59:59.887094,750.0000,462,750.94,8608.09
98,2023-07-13,502,SMFDB,Summit Laghubitta Bittiya Sanstha Limited,1002.9000,1002.9000,950.0000,967.0000,2606,2508331.7000,984.0000,1443.0000,749.0000,2023-07-13T14:57:15.513714,967.0000,39,962.52,5424.87
99,2023-07-13,511,GBIMEP,Global IME Bank Ltd. Promoter Share,103.0000,103.0000,103.0000,103.0000,10000,1030000.0000,102.9000,160.0000,102.9000,2023-07-13T14:58:00.602763,103.0000,2,103.00,10.30
100,2023-07-13,545,SLBBL,Swarojgar Laghu Bitta Bikas Bank Ltd.,725.2000,725.2000,705.0000,705.0000,10494,7431286.5000,711.0000,1115.0000,523.0000,2023-07-13T14:59:20.546083,705.0000,77,708.14,4421.77
101,2023-07-13,559,NLG,NLG Insurance Company Ltd.,867.0000,872.0000,850.0000,851.0000,41951,36194218.8000,850.0000,940.0000,438.0000,2023-07-13T14:59:57.507680,851.0000,271,862.77,12418.44
102,2023-07-13,592,NSLB,Naya Sarathi Laghubitta Bittiya Sanstha Limited,701.9000,701.9000,677.0000,693.5000,588,406103.0000,689.0000,1030.0000,526.4000,2023-07-13T14:59:46.773507,693.5000,19,690.65,2503.82
103,2023-07-13,607,DDBLPO,Deprosc LaghuBitta Promoter Share,440.0000,440.0000,440.0000,440.0000,119000,52360000.0000,440.0000,545.0000,440.0000,2023-07-13T14:58:52.516349,440.0000,1,440.00,22.00
104,2023-07-13,610,RIDI,Ridi Power Company Limited,253.0000,263.8000,239.0000,239.0000,80914,20190516.5000,253.0000,838.0000,234.4000,2023-07-13T14:59:59.898973,239.0000,438,249.53,3701.87
105,2023-07-13,634,RBCLPO,Rastriya Beema Company Limited Promoter Share,13600.0000,14499.0000,13426.0000,14499.0000,2055,28980320.0000,13700.0000,14668.0000,9663.0000,2023-07-13T14:58:11.740964,14499.0000,54,14102.34,25754.52
106,2023-07-13,686,BARUN,Barun Hydropower Co. Ltd.,252.9000,260.0000,245.0000,245.0000,41470,10526667.6000,248.0000,464.0000,190.3000,2023-07-13T14:59:47.389787,245.0000,253,253.83,1312.75
107,2023-07-13,693,CLBSL,Civil Laghubitta Bittiya Sanstha Ltd.,770.1000,779.8000,746.0000,770.0000,901,681798.5000,755.0000,1018.0000,524.9000,2023-07-13T14:59:45.329543,770.0000,34,756.71,2462.60
108,2023-07-13,695,JSLBB,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,1016.1000,1065.0000,995.0000,1030.0000,2177,2215734.2000,1013.1000,2135.0000,833.1000,2023-07-13T14:59:37.810672,1030.0000,46,1017.79,1751.95
109,2023-07-13,705,GILB,Global IME Laghubitta Bittiya Sanstha Ltd.,1027.0000,1027.0000,970.0000,1010.0000,5366,5325479.0000,1007.0000,1475.0000,665.1000,2023-07-13T14:59:56.226968,1010.0000,88,992.44,6250.89
110,2023-07-13,1741,MERO,Mero Microfinance Bittiya Sanstha Ltd.,680.0000,704.8000,667.0000,675.0000,10478,7183631.7000,672.0000,990.0000,493.0000,2023-07-13T14:59:58.533863,675.0000,137,685.59,8910.00
111,2023-07-13,2742,HIDCL,Hydorelectricity Investment and Development Company Ltd,187.6000,189.0000,180.8000,183.9000,112548,20821827.8000,184.0000,245.0000,159.8000,2023-07-13T14:59:57.476473,183.9000,532,185.00,41884.70
112,2023-07-13,2744,GRDBL,Green Development Bank Ltd.,324.3000,330.0000,303.3000,310.0000,9948,3132161.1000,318.0000,330.0000,220.8000,2023-07-13T14:59:58.877843,310.0000,86,314.85,1608.90
113,2023-07-13,700,HEIP,Himalayan Everest Insurance Limited Promoter,442.8000,454.0000,442.8000,450.0000,13209,5860836.0000,451.8000,454.0000,214.2000,2023-07-13T12:35:02.289008,450.0000,15,443.70,1203.77
114,2023-07-13,704,NMBMF,NMB  Microfinance Bittiya Sanstha Ltd.,640.5000,660.0000,635.0000,643.0000,2279,1477333.4000,640.5000,910.0000,472.1000,2023-07-13T14:57:08.022422,643.0000,34,648.23,4638.92
